file_id,dataset_iteration,scenario,index_0,index_1,index_2,index_3
AV2GF3B,1,S1,0,26371,51966,77561
A4G0044,1,S1,0,42224,83206,124188
AS2MVDL,1,S1,0,43323,85372,127421
A0NVTRV,1,S1,0,126515,249309,372103
A36HR6Y,1,S1,0,141464,278767,416070
APGIB2T,1,S1,0,51846,102168,152490
AZIK4ZA,1,S1,0,251239,495089,738939
AX6281V,1,S1,0,230961,455129,679297
A7EM0B6,1,S1,0,218338,430255,642172
AAXAA7Z,1,S1,0,212388,418529,624670
A4E0D03,1,S1,0,250466,493565,736664
AA2KP1S,1,S1,0,273970,539882,805794
A1ZJ41O,1,S1,0,271596,535203,798810
AJMQUVV,1,S1,0,305142,601310,897478
AFPB8J2,1,S1,0,258770,509930,761090
AUY8KYW,1,S1,0,315849,622408,928967
AJ7TSV9,1,S1,0,107481,211800,316119
AHYIJDV,1,S1,0,234204,461520,688836
A1K5DRI,1,S1,0,301769,594663,887557
ATHKM6V,1,S1,0,156259,307922,459585
AOYM4KG,1,S1,0,49853,98239,146625
AMV7EQF,1,S1,0,295233,581783,868333
A3OU183,1,S1,0,25538,50325,75112
AURCTAK,1,S1,0,40573,79952,119331
AIFDJZB,1,S1,0,423460,834465,1245470
AYWIEKR,1,S1,0,294719,580769,866819
A0VFT1N,1,S1,0,297249,585755,874261
AQC0L71,1,S1,0,175483,345805,516127
AJWW3IY,1,S1,0,237599,468210,698821
AKXN5ZZ,1,S1,0,281506,554732,827958
AYEFCWQ,1,S1,0,389261,767073,1144885
ASFODQR,1,S1,0,484849,955437,1426025
