file_id,dataset_iteration,scenario,index_0,index_1,index_2,index_3,index_4
AV2GF3B,1,S2,0,19390,38780,58170,77560
A4G0044,1,S2,0,31047,62094,93141,124188
AS2MVDL,1,S2,0,31855,63710,95565,127420
APGIB2T,1,S2,0,38122,76244,114366,152488
A0NVTRV,1,S2,0,93026,186052,279078,372104
A36HR6Y,1,S2,0,104018,208036,312054,416072
AX6281V,1,S2,0,169824,339648,509472,679296
AAXAA7Z,1,S2,0,156167,312334,468501,624668
A7EM0B6,1,S2,0,160543,321086,481629,642172
A4E0D03,1,S2,0,184166,368332,552498,736664
AZIK4ZA,1,S2,0,184735,369470,554205,738940
A1ZJ41O,1,S2,0,199703,399406,599109,798812
AOYM4KG,1,S2,0,36656,73312,109968,146624
AFPB8J2,1,S2,0,190272,380544,570816,761088
AMV7EQF,1,S2,0,217083,434166,651249,868332
AURCTAK,1,S2,0,29833,59666,89499,119332
A3OU183,1,S2,0,18778,37556,56334,75112
AJ7TSV9,1,S2,0,79030,158060,237090,316120
AA2KP1S,1,S2,0,201449,402898,604347,805796
A1K5DRI,1,S2,0,221889,443778,665667,887556
AHYIJDV,1,S2,0,172209,344418,516627,688836
AJMQUVV,1,S2,0,224369,448738,673107,897476
ATHKM6V,1,S2,0,114896,229792,344688,459584
AYWIEKR,1,S2,0,216705,433410,650115,866820
AUY8KYW,1,S2,0,232242,464484,696726,928968
AQC0L71,1,S2,0,129032,258064,387096,516128
AIFDJZB,1,S2,0,311367,622734,934101,1245468
AJWW3IY,1,S2,0,174705,349410,524115,698820
AKXN5ZZ,1,S2,0,206990,413980,620970,827960
A0VFT1N,1,S2,0,218565,437130,655695,874260
AYEFCWQ,1,S2,0,286221,572442,858663,1144884
ASFODQR,1,S2,0,356506,713012,1069518,1426024
