file_id,dataset_iteration,scenario,index_0,index_1,index_2,index_3,index_4,index_5
AV2GF3B,1,S3,0,15512,31024,46536,62048,77560
A4G0044,1,S3,0,24838,49676,74514,99352,124190
AS2MVDL,1,S3,0,25484,50968,76452,101936,127420
APGIB2T,1,S3,0,30498,60996,91494,121992,152490
A0NVTRV,1,S3,0,74421,148842,223263,297684,372105
A36HR6Y,1,S3,0,83214,166428,249642,332856,416070
AAXAA7Z,1,S3,0,124934,249868,374802,499736,624670
A7EM0B6,1,S3,0,128434,256868,385302,513736,642170
AX6281V,1,S3,0,135859,271718,407577,543436,679295
A4E0D03,1,S3,0,147333,294666,441999,589332,736665
A1ZJ41O,1,S3,0,159762,319524,479286,639048,798810
AOYM4KG,1,S3,0,29325,58650,87975,117300,146625
AA2KP1S,1,S3,0,161159,322318,483477,644636,805795
AMV7EQF,1,S3,0,173666,347332,520998,694664,868330
AZIK4ZA,1,S3,0,147788,295576,443364,591152,738940
AFPB8J2,1,S3,0,152218,304436,456654,608872,761090
AURCTAK,1,S3,0,23866,47732,71598,95464,119330
A3OU183,1,S3,0,15022,30044,45066,60088,75110
AJ7TSV9,1,S3,0,63224,126448,189672,252896,316120
AHYIJDV,1,S3,0,137767,275534,413301,551068,688835
A1K5DRI,1,S3,0,177511,355022,532533,710044,887555
AUY8KYW,1,S3,0,185793,371586,557379,743172,928965
ATHKM6V,1,S3,0,91917,183834,275751,367668,459585
AJMQUVV,1,S3,0,179495,358990,538485,717980,897475
AQC0L71,1,S3,0,103225,206450,309675,412900,516125
AYWIEKR,1,S3,0,173364,346728,520092,693456,866820
AJWW3IY,1,S3,0,139764,279528,419292,559056,698820
A0VFT1N,1,S3,0,174852,349704,524556,699408,874260
AKXN5ZZ,1,S3,0,165592,331184,496776,662368,827960
AIFDJZB,1,S3,0,249094,498188,747282,996376,1245470
AYEFCWQ,1,S3,0,228977,457954,686931,915908,1144885
ASFODQR,1,S3,0,285205,570410,855615,1140820,1426025
